                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    1.6,                 1.3345,                 1.2435,                0.83567,                 0.7301,                0.84333,                0.49327,                    nan,                    nan,                    nan,              0.0033296,              0.0033296,              0.0033296
                      2,                 1.3328,                 0.8435,                 1.1161,                0.87946,                0.80044,                 0.8989,                  0.572,                    nan,                    nan,                    nan,              0.0065969,              0.0065969,              0.0065969
                      3,                 1.2887,                0.76435,                 1.0999,                0.86463,                0.79031,                0.87955,                0.54629,                    nan,                    nan,                    nan,              0.0097983,              0.0097983,              0.0097983
                      4,                  1.246,                0.70418,                 1.0867,                0.89657,                0.80554,                0.89863,                0.57136,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      5,                 1.1911,                0.65444,                 1.0659,                0.88372,                0.80855,                0.89545,                0.56312,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                      6,                 1.1487,                0.62005,                 1.0488,                0.88829,                0.81794,                0.91027,                 0.5798,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                      7,                 1.1223,                0.59985,                 1.0387,                0.90443,                0.84765,                0.92593,                0.58826,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                      8,                  1.097,                0.58353,                 1.0297,                0.89855,                0.84115,                0.93123,                0.60796,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                      9,                 1.0811,                0.57037,                 1.0216,                0.90517,                0.85287,                0.93045,                0.60705,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     10,                  1.061,                0.55679,                 1.0149,                 0.9011,                0.84023,                0.92334,                0.59805,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     11,                 1.0489,                0.54897,                 1.0094,                0.91352,                0.85121,                0.93658,                0.61496,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     12,                 1.0375,                0.54072,                 1.0059,                0.91418,                0.85934,                0.94185,                0.62653,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     13,                 1.0272,                0.53596,                 1.0016,                0.90315,                0.84565,                0.92781,                0.61963,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     14,                 1.0171,                0.52701,                0.99718,                0.90445,                0.82403,                0.92194,                0.61925,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     15,                 1.0096,                 0.5226,                0.99495,                0.90781,                0.86075,                0.93786,                0.61795,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     16,                 1.0007,                0.51725,                0.99098,                0.91059,                0.85237,                0.93505,                 0.6265,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     17,                0.99444,                0.51291,                 0.9889,                0.89765,                0.86538,                0.93765,                0.61497,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     18,                0.98702,                0.50779,                0.98578,                0.90368,                0.86027,                0.93698,                0.63209,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     19,                 0.9815,                  0.505,                0.98324,                0.90249,                0.85141,                0.93477,                0.62872,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     20,                 0.9729,                0.50078,                  0.981,                0.89416,                0.85789,                0.92381,                 0.6286,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
